  Report of vehicles en-route at end of simulation
    link position   car dist status orig dest arrt wait1 wait2 wait3 wait4 wait5
   45    4    374    0.093     0     1     6   206 999999    213    228      0      0
   45    5    379    0.066     0     1     7   207 999999    213    230      0      0
   47    1    290    0.294    30     2     7   174    209    198    193   2131      0
   47    2    349    0.284     0     2     8   177 999999    200    197      0      0
   47    3    391    0.274     0     2     7   184 999999    204    202      0      0
   47    4     31    0.264     0     3     8   186 999999    207    206   1840      0
   47    5    405    0.254     0     2     8   189 999999    208    209      0      0
   47    6    434    0.243     0     2     7   196 999999    213    215      0      0
   47    7      7    0.145     0     4     9   202 999999    213    222   2029      0
   47    8    305    0.108     0     1     7   205 999999    213    224      0      0
   47    9    306    0.074     0     1     6   208 999999    213    226      0      0
   47   10    318    0.036     0     1     5   210 999999    213    228      0      0
   48    1    208    0.008     0     9    10   212 999999    213    180      0      0
   50    1    237    0.342    30     9     3   160 999999    213    183      0      0
   50    2    248    0.329     0     9     5   161 999999    213    185      0      0
   50    3    275    0.317     0     9     3   163 999999    188    188      0      0
   50    4    295    0.305     0     9    10   172 999999    194    194      0      0
   50    5    301    0.295     0     9     3   175 999999    196    198      0      0
   50    6    422    0.284     0     8     2   181 999999    202    205      0      0
   50    7    484    0.273     0     8     2   194 999999    213    216      0      0
   50    8    352    0.008     0     9     5   212 999999    213    188      0      0
   55    1    335    0.327     0     4     5   192 999999    213    214   1920      0
   55    2    357    0.205     0     4    10   199 999999    213    221   1972      0
   55    3    362    0.164     0     4     8   201 999999    213    224      0      0
   55    4    370    0.127     0     4    10   204 999999    213    226      0      0
   55    5    382    0.096     0     4     9   206 999999    213    228      0      0
   55    6    398    0.059     0     4     9   209 999999    213    230      0      0
   55    7    407    0.031     0     4     9   210 999999    213    232      0      0
   55    8    420    0.007     0     4     9   212 999999    213    233      0      0
   56    1    266    0.344    30     7     3   177    213    204    198      0      0
   56    2      6    0.061     0     9     4   209 999999    213    230      0      0
   57    1    256    0.294    30     4     5   164    209    184    182   2131      0
   57    2    270    0.284     0     4     5   169 999999    191    188      0      0
   58    1     49    0.282    20     8     3   195 999999    213    214      0      0
   58    2     70    0.224     0     8     3   198 999999    213    217      0      0
   58    3     93    0.176     0     8     3   201 999999    213    220      0      0
   58    4    103    0.132     0     8     3   204 999999    213    223      0      0
   58    5    123    0.091     0     8     3   207 999999    213    225      0      0
   58    6    184    0.052     0     8     3   209 999999    213    227      0      0
   58    7    384    0.008     0     7     3   212 999999    213    195      0      0
   60    1    415    0.342    30     7     3   174 999999    213    197      0      0
   60    2    441    0.329     0     7     2   178 999999    213    200      0      0
   60    3    296    0.161     0     6     5   201 999999    213    224   1270      0
   60    4    297    0.123     0     6     1   203 999999    213    226      0      0
   60    5    341    0.094     0     6    10   205 999999    213    228      0      0
   60    6    376    0.069     0     6     5   207 999999    213    229      0      0
   60    7    383    0.046     0     6     5   209 999999    213    231      0      0
   60    8    389    0.026     0     6    10   210 999999    213    208      0      0
   60    9    392    0.005     0     6     1   212 999999    213    212      0      0
   61    1    368    0.934     0     4     7   155 999999    213    216      0      0
   61    2    435    0.580     0     4     6   178 999999    213    238      0      0
   61    3    456    0.485     0     4     6   183 999999    213    243      0      0
   61    4    458    0.426     0     4     6   185 999999    213    247      0      0
   61    5    467    0.363     0     4     6   190 999999    213    251      0      0
   61    6    496    0.186     0     4     7   201 999999    213    261      0      0
   62    1    344    0.858    20     6     4   160 999999    213    221      0      0
   62    2    377    0.655     0     6     3   172 999999    213    233      0      0
   62    3    397    0.457     0     6     4   184 999999    213    245      0      0
   62    4    411    0.354     0     6     4   190 999999    213    251      0      0
   62    5    437    0.256     0     6     3   196 999999    213    257      0      0
   68    1     35    0.295    30     4     8   182    205    206    201   2131      0
   68    2     60    0.285     0     4     9   187 999999    210    206      0      0
   68    3     73    0.274     0     4     8   190 999999    211    209      0      0
   68    4     87    0.264     0     4     9   192 999999    213    212      0      0
   68    5    137    0.164     0     4     8   203 999999    213    221      0      0
   68    6     23    0.110     0     7     2   206 999999    213    224   1239      0
   68    7     40    0.061     0     7     2   209 999999    213    227   1253      0
   68    8     58    0.015     0     7     2   212 999999    213    230      0      0
   69    1    269    0.284    20     6    10   193 999999    213    213   1170      0
   70    1     98    0.280    20     2     7   191 999999    213    211   1039      0
   70    2      5    0.257     0     1     7   194 999999    213    214      0      0
   70    3     41    0.186     0     9     3   201 999999    213    219      0      0
   73    1     28    0.202    20     4     2   200 999999    213    215      0      0
   73    2    360    0.145     0     1     2   202 999999    213    219   2005      0
   73    3    387    0.058     0     1     2   209 999999    213    224      0      0
   74    1    494    0.244    30     3     8   183    213    204    198      0      0
   74    2    523    0.234     0     3     8   192 999999    211    208      0      0
   74    3    569    0.065     0     3     7   208 999999    213    224      0      0
   75    1    542    0.234     0     8     3   198 999999    213    213      0      0
   76    1    520    0.243    30     7     3   191    213    211    207      0      0
   77    1    355    0.140     0     6     7   204 999999    213    219      0      0
   77    2    369    0.102     0     6     7   205 999999    213    221      0      0
   79    1     92    0.192    20     1     3   201 999999    213    216   2014      0
   79    2    366    0.148     0     4     3   202 999999    213    219      0      0
   79    3    166    0.087     0     6     3   207 999999    213    222   1602      0
   80    1    548    0.201     0     2     8   200 999999    213    215      0      0
   80    2    555    0.150     0     2     8   203 999999    213    218      0      0
   80    3    563    0.090     0     2     7   207 999999    213    222      0      0
   80    4    567    0.059     0     2     7   208 999999    213    224      0      0
